Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
Hibiscus,hibiscus,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c2f465f4282ed9a44b57,false,false,Tue May 18 2021 13:36:52 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:36:52 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Houblon,houblon,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1e6b6fcc66ddf003df0,false,false,Tue May 18 2021 13:32:22 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:22 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Jasmin,jasmin,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c2ed15d6f504a82f73b6,false,false,Tue May 18 2021 13:36:45 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:36:45 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Kumquat,kumquat,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c2ede91a51581749e039,false,false,Tue May 18 2021 13:36:45 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:36:45 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Lavande,lavande,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1fdae4935083c3c2191,false,false,Tue May 18 2021 13:32:45 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:45 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Litchi,litchi,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1f3a01977e954aa399d,false,false,Tue May 18 2021 13:32:35 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:35 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Mandarine,mandarine,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1fc1e9857c6ea6fb896,false,false,Tue May 18 2021 13:32:44 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:44 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Mangue,mangue,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1e8d208aa1a942e9776,false,false,Tue May 18 2021 13:32:24 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:24 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Marjolaine,marjolaine,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c2f7c9bd5da9ced8d7c7,false,false,Tue May 18 2021 13:36:55 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:36:55 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Marmelade,marmelade,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1fa4196ac5c9eea0119,false,false,Tue May 18 2021 13:32:42 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:42 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Melon,melon,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1ed664237172343c8e2,false,false,Tue May 18 2021 13:32:29 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:29 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Melon blanc (Honeydew),melon-blanc-honeydew,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c2f5aa361c866bcb5201,false,false,Tue May 18 2021 13:36:53 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:36:53 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Mentholé,menthole,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1f1ffab00f82ddf0fea,false,false,Tue May 18 2021 13:32:33 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:33 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Miel,miel,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c2e54b31939d9c38e4dd,false,false,Tue May 18 2021 13:36:37 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:36:37 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Myrtille,myrtille,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1df94d53950020b5486,false,false,Tue May 18 2021 13:32:15 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:15 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
